component_id	repository	commit_sha	path	content_sha256	kind
globalgrid2050:pipeline/contracts/release.v9.1.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/contracts/release.v9.1.json	bc21070f44aae1d32da333e4954816acd907aa8c9fa9cb639c64d651f7fd4259	application
globalgrid2050:pipeline/contracts/release.v9.2.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/contracts/release.v9.2.json	8f0d9a68fecd6b5bef25e2cb00e27f4587d7998fb7fca42d9f5f05b135be458f	application
globalgrid2050:pipeline/contracts/release.v9.3.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/contracts/release.v9.3.json	48bd1fe7ab712737c1eeb8549b0e2e97bf592f262ecb404059adefc8202add01	application
globalgrid2050:pipeline/contracts/release.v9.4.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/contracts/release.v9.4.json	86768834cebdf68d97da05e6b27fc42266e8f5ff72c9e29dd035879738cb7426	application
globalgrid2050:pipeline/contracts/release.v9.5.1.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/contracts/release.v9.5.1.json	962c5c9adb401b9aab15e8b63535e1ab5330edd3bd20b547f7e670c98decc637	application
globalgrid2050:pipeline/contracts/release.v9.5.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/contracts/release.v9.5.json	7dd705f5ac64445d5b8b44a4b32e7bd829a2d325f39a699ed67833c074f31a79	application
globalgrid2050:pipeline/contracts/release.v9.6.1.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/contracts/release.v9.6.1.json	df31bd6c78077eaf86918a12b8fcb72524f81e4b36138f27e9664a68a1c0dc28	application
globalgrid2050:pipeline/contracts/release.v9.6.2.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/contracts/release.v9.6.2.json	ef9121ac2550c8e3c734255b091b78adbff92ccfab1bab6c4d418fc3188b67cf	application
globalgrid2050:pipeline/contracts/release.v9.7.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/contracts/release.v9.7.json	cd40396657e1a604f20418cec074c32df2d7b592a5c25c12f086256ae71b8cd8	application
globalgrid2050:pipeline/data/v9.8/interconnectors.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/data/v9.8/interconnectors.json	d13d6c24754a4a97b8a982d20a5dadc2de411116fd2c3491ff25a5e4f7daca64	application
globalgrid2050:pipeline/data/v9.8/interconnectors_manifest.json	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/data/v9.8/interconnectors_manifest.json	c21dc905cea35fe830632b37d9c26644a2887d2fa041b23005c2a96668d739e4	application
globalgrid2050:pipeline/index.html	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/index.html	d3fd846a373f8790e3030f8e29e6b2c4a30a310c861d1a69ca602284fa0c4301	application
globalgrid2050:pipeline/scripts/app-v9-3.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/app-v9-3.js	364147302951332d745ee615d73051a6be962e2e2b568ddb4026689bcf4fe2e7	application
globalgrid2050:pipeline/scripts/app-v9-4.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/app-v9-4.js	3370012e59b154a209ffa9866e1515db9ff04b1a391b1247a4def2afb506095f	application
globalgrid2050:pipeline/scripts/app-v9-5-1.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/app-v9-5-1.js	1be160ffedffd634862172c98d4ac96145eff12be07518c88466ddea3c31e431	application
globalgrid2050:pipeline/scripts/app-v9-5.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/app-v9-5.js	a48603223cf5e75915b3e8cd9285dcab9b826ebf3e1575ada330ca8d88582b00	application
globalgrid2050:pipeline/scripts/app-v9-6-2.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/app-v9-6-2.js	4eed3a69f4755647dd223d45af438561bf80e6bd6b0a9bdacc5a789457b9e38d	application
